Text,Time,Pic
"[""财联社6月4日电，印度NIFTY指数跌幅扩大至8%。""]",2024-06-04 14:56:16,No_Pic
"[""【国资委发布关于新时代中央企业高标准履行社会责任的指导意见：大力发展战略性新兴产业】财联社6月4日电，国资委发布关于新时代中央企业高标准履行社会责任的指导意见。着力强化产业引领。不断优化调整产业布局结构，深入推进传统产业转型升级，大力发展战略性新兴产业，前瞻布局未来产业，服务构建现代化产业体系。积极推进新型工业化，加快产业高端化、智能化、绿色化、融合化发展。加快推进现代产业链建设，充分发挥主体支撑与融通带动作用，积极搭建合作交流对接平台，带动产业链上下游企业融通发展。加强与各类所有制企业在产业、资本、技术、采购与招投标等领域的合作，引领带动民营和中小企业协同发展。""]",2024-06-04 14:55:22,No_Pic
"[""财联社6月4日电，集运指数欧线期货主力合约涨幅扩大至10%，报4632点，再创历史新高。""]",2024-06-04 14:53:06,No_Pic
"[""财联社6月4日电，集运指数欧线期货主力合约涨幅扩大至8%，现报4548点。""]",2024-06-04 14:46:53,No_Pic
"[""【印度主要股指跌超7%】财联社6月4日电，印度NIFTY指数和印度SENSEX指数跌幅均扩大至7%。消息面上，印度大选早期计票显示莫迪微弱领先，领先优势不及出口民调。""]",2024-06-04 14:42:31,No_Pic
"[""【深成指、创业板指双双涨逾1%】财联社6月4日电，指数走强，深成指拉升涨逾1%，沪指涨0.36%，创业板指涨1.32%。电力、有色金属、房地产等方向涨幅居前，沪深京三市上涨个股近2000只。""]",2024-06-04 14:35:43,No_Pic
"[""财联社6月4日电，印度NIFTY指数和印度SENSEX指数跌幅均扩大至6%。消息面上，印度大选早期计票显示莫迪微弱领先，领先优势不及出口民调。""]",2024-06-04 14:33:24,No_Pic
"[""【证监会将在2024陆家嘴论坛期间发布资本市场相关政策举措】财联社6月4日电，2024陆家嘴论坛将于6月19日至6月20日在上海举办。上海6月4日举行市政府新闻发布会，介绍第十五届陆家嘴论坛有关情况。中国证监会办公厅副主任王利在发布会上透露，6月19日上午，证监会主席吴清将出席论坛开幕式暨全体大会，并围绕“以金融高质量发展推动世界经济增长”发表主题演讲。6月19日下午，证监会副主席方星海和上交所理事长邱勇将围绕“科技创新与资本市场高质量发展”发表主题演讲。2024陆家嘴论坛期间，证监会将发布资本市场相关政策举措。证监会还将与上海市人民政府共同建立资本市场支持上海加快五个中心建设的协同工作机制，助力上海国际金融中心增强竞争力和影响力。""]",2024-06-04 14:30:32,No_Pic
"[""【南向资金净流入超80亿港元】财联社6月4日电，截至目前，南向资金净流入超80亿港元，其中港股通（沪）流入超41亿港元，港股通（深）流入超38亿港元。""]",2024-06-04 13:49:21,No_Pic
"[""【韩国将恢复在朝韩军事分界线和西北岛屿的所有军事活动】财联社6月4日电，韩国国防部4日通报，从当地时间4日15时起，韩方将恢复在朝韩军事分界线和西北岛屿的所有军事活动。韩国政府4日举行国务会议，表决通过了关于中止韩朝《9·19军事协议》全部效力的议案。 (央视新闻)""]",2024-06-04 13:46:28,No_Pic
"[""财联社6月4日电，印度10年国债收益率上涨10个基点至7.04%。""]",2024-06-04 13:40:46,No_Pic
"[""财联社6月4日电，印度NIFTY指数和印度SENSEX指数跌幅均扩大至5%。消息面上，印度大选早期计票显示莫迪微弱领先，领先优势不及出口民调。""]",2024-06-04 13:39:23,No_Pic
"[""财联社6月4日电，集运指数欧线期货主力合约向上触及4500点，涨幅超7%。""]",2024-06-04 13:32:32,No_Pic
"[""财联社6月4日电，印度NIFTY指数和印度SENSEX指数跌幅均扩大至4%。""]",2024-06-04 13:27:25,No_Pic
"[""【印度NIFTY指数、SENSEX指数均跌超3%】财联社6月4日电，印度NIFTY指数、SENSEX指数均跌超3%。阿达尼旗下旗舰公司Adani Enterprises跌超10%。印度10年期国债收益率上涨10个基点至7.0368%。消息面上，印度大选早期计票显示莫迪领先，但领先优势不及出口民调。""]",2024-06-04 12:00:17,No_Pic
"[""财联社6月4日电，印度主要股指跌超2%，NIFTY指数下跌2.1%至22784.35点，SENSEX指数跌2%至74928.44点。""]",2024-06-04 11:45:43,No_Pic
"[""【6月4日午间涨停分析】财联社6月4日电，今日午盘两市共19涨停，连板股总数4只，8股封板未遂，封板率为70%（不含ST股、退市股及未开板新股）。焦点股方面，低价股的申华控股4连板、香江控股3天2板，PCB板块逸豪新材创业板2连板、协和电子2连板。""]",2024-06-04 11:42:29,./news_pic/cls_20240604114543_image.png
"[""【午评：创业板指半日涨0.87% 地产股集体反弹】财联社6月4日电，市场早盘震荡反弹，创业板指领涨，大小指数走势分化。盘面上，地产股展开反弹，香江控股涨停，新华联、金地集团等涨超5%。中字头个股震荡走强，中成股份涨停，中汽股份等涨超5%。有色金属概念股盘中拉升，玉龙股份、华锡有色涨超5%。摘帽概念股表现活跃，供销大集、惠天热电涨停。下跌方面，年报遭问询个股继续大跌，联建光电、恒信东方等20CM跌停。总体上个股跌多涨少，全市场超3600只个股下跌。沪深两市半日成交额4562亿，较上个交易日缩量870亿。板块方面，房地产、贵金属、中字头、创新药等板块涨幅居前，MR、教育、铜缆高速连接、AI PC等板块跌幅居前。截至收盘，沪指跌0.02%，深成指涨0.51%，创业板指涨0.87%。""]",2024-06-04 11:33:23,No_Pic
"[""【创业板指涨逾1% 上涨个股近1800只】财联社6月4日电，指数走强，创业板指拉升涨逾1%，沪指涨0.14%，深成指涨0.65%。有色金属、房地产、银行、证券等方向涨幅居前，沪深京三市上涨个股近1800只。""]",2024-06-04 11:13:06,No_Pic
