Text,Time
"指数，周五继续下跌，破了3100点，成交额也继续缩量到七千多亿，盘面上早盘还有冲高试图反包，午后就是单边回落了。

对追高资金的杀伤力很大。日内又发酵了电改和华为910c两个新方向，周四的电磁屏蔽已经被忘记了。

周末消息面，还是围绕电改，华为，地产这几个方向，对于周五强势的两个方向来说，接力又是难度很大。指数这里下方预期空间并不会太大，3000附近支撑还是足够的，接下来市场会是止跌反抽以及反复震荡的预期。

操作上，还是低吸轮动为主，追高盈亏比太低了。

电改开盘就大面积发酵，主要炒了电力企业和虚拟电厂两个方向。

电力，郴州国际一字，电投产融，广西能源等前排。

明星电力等高位个股也很强。虚拟电厂，主要是20cm，国信日能，九洲集团，众智科技。

明天先看看再说吧，近期这个板块轮动速度，不好接力。

华为910c服务器

又是小作文狂吹替代英伟达。中午大面积发酵，周末热度还在。
意华股份二板，川润股份，得润电子等首板。

中创股份，创益通20cm。华丰科技也很强。和电改一样，先观察再说。

反抽方向留意下地产和光伏。

地产，留意下我爱我家，城建发展，金地集团，特发服务，浙江建投。

光伏，看金刚光伏，东方日升，晶科能源。独立逻辑个股正丹股份继续大涨，留意江天化学，隆盛科技，海目星等。",2024-05-26 22:29:00
"昨天市场大跌后，今天短线再度开始尝试进攻。电力板块做强，出现涨停潮，正虹科技也走出分歧转一致。

但现在的趋势还不稳定，更多是一种震荡向上的表现，如果市场太强，往往第二天抛压就非常大，如果市场犹犹豫豫，那持续性就会逐步显现 ",2024-05-24 12:25:00
"指数，今天低开后单边回落收了个中阴线，沪指跌破了ma20，结构上要从震荡向上调整为区间震荡了，预计下面的空间也不会很多，筹码集中在3000-3100之间。

情绪上，今天亏钱效应挺大的，特别是冲高回落的个股很多。连板投机已经没什么价值了，风格依旧在20cm个股上。

日内扩散到了20cm次新股，以及北交所，基本上也到了情绪末端。英力股份这个三板是个明天的观察点。

题材上，日内新发酵一个电磁屏蔽概念，老题材地产午后回流，光伏，ai，低空都没什么表现。

这里指数回踩后是好事，等待新的能够带动指数回暖的方向。

电磁屏蔽

新吹的题材，早上沃特股份首板，隆扬电子，方邦股份等20cm。明天先看看再说。

地产

午后回流，最亮眼是两个20cm德必集团和安居宝，低吸给了超级大肉。

趋势票，城建发展，滨江集团，万科表现都还可以，低位浙江建投反包板。

明天也没有参与点了，先观察再说。

ai

高位的铜缆走弱，低位华丰科技，鼎通科技逆势走强，弈东电子也不弱。

大票工业富联，中际旭创等没表现，都在等晚上英伟达。

光伏

就东方日升日内还有强度。",2024-05-23 21:44:00
"昨天房地产高潮，午盘就跟大家说了，追高的人未必舒服出来，今天对于那些跑的慢的人又是一碗大面。

但是这也侧面说明了在这段震荡轮动中，情绪已经极度低迷了，那最好今天就杀透，这样的话，接下来自然又是物极必反的机会逐步出现。 ",2024-05-23 12:02:00
"指数，横盘整理，创业板更强一些，日内光伏锂电等赛道股大涨，带动了创业板反弹。
两市成交额依旧是八千亿左右，盘面上也能明显看到互相抽血，早上地产拉升，午后光伏一拉地产大幅回落，其他方向只有300个股有量化抱团炒作。
情绪上，今天算是修复，特别是300风格再次走了加速，雷曼光电，瑞迪智驱等大超预期。
独立逻辑的20cm是当前最强的风格，吹票和量化共同打造。
题材上，地产，光伏，玻璃基板几个方向在轮动。
策略上，能识别到20cm量化抱团，参与低吸是当前行情的最佳策略。

光伏
也有政策利好预期，日内被资金拉爆了。
早上金刚光伏就冲了20cm，下午晶澳科技和tcl中环是大票核心，点燃了板块情绪。
东方日升是午后20cm的人气股。
明天就看这几个票好了，接力预期也不高。

地产
早上二次走强，午后被光伏抽血回落，趋势还没坏。
20cm特发服务逼近异动，日内拉了不少补涨，德必集团，安居宝，三六五网等。
大票金地集团，万科两个核心。

玻璃基板
雷曼光电去挑战了异动线，明天看看反馈如何，后排关注是否有补涨。
三超新材，隆利科技，帝尔激光等。

20cm波段个股
留意几个人气股，涨幅都不小了，当做情绪标的吧。
正丹股份和朗源股份是高位核心。
瑞迪智驱，雷曼光电，骏鼎达，胜蓝科技。这几个都涨幅不小了。
新启动的有隆盛科技，海目星。

ai
都在博弈晚上英伟达业绩，铜缆最强，亦东电子，胜蓝科技，神宇股份等。",2024-05-22 22:52:00
"昨天短线连板股修复，地产等题材补跌，今天换过来，短线股继续杀跌，地产开始冲高。

市场本质还是绕不开一个轮动表现，在这样的状态下，今天追高资金明天也未必能舒服出来，看好就收往往是震荡趋势最好的武器。 ",2024-05-22 11:46:00
"指数，弱势调整一天，港股那边比较弱，影响了今天的情绪，成交额缩小了近两千亿，又到了八千亿附近。
盘面上的赚钱效应急速缩小，涨停板不足20个，让人无力吐槽。
投机方面，南京化纤又拉了地天板，反复蹂躏短线玩家。
20cm高位的正丹股份朗源股份表现还行。
题材上，地产股虽然有分歧，但是内部还有强势股，其他方向已经看不到强度了。
日内有轮动了ai手机，汽车等。
策略上，还是以低吸轮动为主，根据个人感受和账户反馈来控制仓位。

地产股
高位我爱我家开板，爆量分歧没有回封，明天看看如何反馈。
20cm特发服务逆势走强。
大票继续看金地集团和万科就行。

化工
留意正丹股份和百川股份两个tma标的，涨价还在继续。
另外，看民爆的高争民爆能否继续趋势。

有色
留意北方铜业，湖南白银，晓程科技三个。

aipc，汽车这种日内轮动的板块没什么兴趣，暂时不关注。",2024-05-21 22:18:00
"昨天午后南京化纤的天地杀直接把情绪降了下来，今天开盘连板股竞价就受到猛烈打击，但是短线大趋势是向上的，因此开盘就有人来反核。

而昨天没有分歧调整的方向，今天反而轮动调整，大家各玩各的，等都累了，才有新的合力。 ",2024-05-21 11:33:00
"指数，今天跳空上涨，创了阶段新高，成交额也放到了近万亿，趋势完好，继续关注个股机会就行。

情绪上，今天反而没有昨天那么好做，盘面虽然放量了，但是轮动的速度更快了，追高接力难度极大。

连板还是没法做，南京化纤瞬间天地板，基本上投机连板被扔到垃圾桶了。

逻辑票趋势是当前最强的风格，另外，就是一堆基本面优秀的大票趋势了。

围绕趋势和逻辑都不错的个股反复低吸轮动做波段应该是当前最好的策略了。

题材上，日内最强是黄金有色，地产股和玻璃基板两个周末热议的都是冲高回落。其他的低空经济，新起的民爆，化工股，cpo等都有轮动。

黄金有色方向

主要还是看期货，基本上都是新高走势。股票方面核心个股也都是趋势新高了。

湖南白银一字，北方铜业跳空新高，晓程科技20cm新高。接下来就看这几个好了。

地产方向

亚振家居和我爱我家一字，明天预期也要分歧放量了。

大票里，万科，金地，滨江集团继续留意。城投控股二板。

20cm看特发服务。

AI方向

玻璃基板，前排继续一字，后面也是冲高回落大分歧。这个方向暂时也不想去接力。

沃格光电二板，雷曼光电20cm二板。

其他看三超新材和五方光电。

铜缆，沃尔核材，胜蓝科技，神宇股份继续趋势。

cpo，新易盛新高。

都是博弈英伟达的业绩预期的。

低空经济方向

万丰奥威继续走趋势，虽然日内其他没什么表现，后面还是要看轮动的。

这里就看万丰奥威，宗申动力，安达维尔这几个票。

化工方向

日内最强是民爆。高争民爆，保利联合留意下。

其他的百川股份，百合花，北化股份都在趋势中。",2024-05-20 22:46:00
周五午后市场在地产利好刺激下大幅走高，周末又是大幅发酵，今天走出普遍冲高回落的走势，短期情绪过于一致，所以更多还是抱团各个方向的龙头股，但趋势已经向上。 ,2024-05-20 11:36:00
