Text,Time,Pic
"上午盘面情绪比昨天好些了，但没有出现特别合力的方向，各自捞自己的票吧。
V2X、电网稍微好点，此外就是所谓的“突围方向”。
下午看能否有合力方向出来，如果合力带动放量，那么收盘会好看些。
市场接受“问询是监管的义务，且会常态化”需要时间，仓位调整到安全区后，情绪就不会那么差了。 ",2024-06-04 11:51:00,No_Pic
"早上捞了两波，没敢捞可能被雷的，暂时不考虑弹性了，安全性比较重要。
配置仓没动，野仓接的货，现在这么卡条件卡着捞，看起来也像配置仓了
横向比较，还是港股好搞，起码健康一点，不这么疯。 ",2024-06-04 10:51:00,./news_pic/weibo_tangshuzhuren_20240604105100_image.jpg
"昨天即使微盘股放量下跌，成交量也才8300+。北向资金是买入的，凭经验判断，主要买入是在午后。从目前的节奏来看，这轮调整已经进入整体情绪化的阶段，个人判断只要市场出现合力，那么合力板块将率先反弹。

科技方向，领导在创新大会上的讲话很清晰了，到2030年时使我国进入创新型国家前列。顺着这个思路，我A股就要起到资源调配的基础作用，出清无效的融资需求，向能发展出新质生产力，使用创新型技术改变传统行业的方向来倾斜。观察最近的融资批复，第一家IPO的是存储企业，第一家获批再融资的也是NPU企业，咱村技术官僚还是懂行的。

我个人还是原来的观点：6月泛科技向会有比较好的机会。一方面是因为公募已经加不动红利高股息仓位了，另一方面出口也受数据影响。前期驱动指数上涨的主要抓手需要休息调整，而泛科技线催化又比较多。卫星商业航天、智能交通L3+V2X、核电核能与电力智能化、机器人、AI(算力、PC\手机)、先进封装、半导体扩产与周期、等等，这个月都有比较显著的催化。这些东西咱们都经常聊，懂的都懂。问题还是在操作层面，一定是逢低买不追高。手艺好一点的，可以看看没有雷的中小盘，短时做多一般都在筹码干净的区域。
需要注意的是，如果想获得超额收益，那么就要在所属板块健康时，去参与新的分支。比如AIPC，一开始交易硬件供应商，然后交易NPU，现在又开始交易套件合作商。当然，参与这种行情时，一定要注意防雷，多看看既往有没有监管的记号。

市场也在传科特估，其实我个人对这种提法，总感觉哪里不对，但可能这种提法的传播效率会好很多吧。追溯公开发言，去年国资委也曾经明确表示过央国企在科技领域的当担和作用，最近也有国资委副主任的吹风。有点类似去年中特估也源自国资委的吹风。同时国企方面，最近也确实有些动作，除了支持科技向和提高分红比例外，也在推动重组。市场低迷时，这种重组预期还是可以调动市场情绪的。

我个人短线仓位今天会开仓试试，好多人都倾向端午节后开始做多，但跌多了的话，或许机会就在节前。尤其是市场没有认真对待欧洲降息的背景下。但这个操作也很可能被埋，我昨天试了一笔，直接给我锤了十来个点，还好只是试错买入，只有一点点。嫩菜还是不要轻易出手了。

先码这么多，错别字不改了。",2024-06-04 08:51:00,No_Pic
"感觉北向今天是买的，还是等数据出来看是不是吧。
早上挺好的，但下午被锤了。
净值勉强收红，侥幸渡过一天。 ",2024-06-03 14:59:00,./news_pic/weibo_tangshuzhuren_20240603145900_image.jpg
"微盘股指数今天比其他指数跌得都多，且还在跌。
这是一个历史进程在A股的体现。
以往我们股市在资源配置中起的作用，最直观体现为“扩大直接融资”。不管是高质量的还是低质量的，都来圈钱扩产。没有考虑对证券市场回报率这个基本问题。
那么现在要考虑回报率了，也就意味着圈钱扩产，没有利润的就不行。而不能扩产，很多本来IPO就属于无效融资的，早早晚晚也会被市场出清。
所以ST只是二级市场回归“资源有效配置”的第一个里程碑，但对于很多不能理解这一点的投资者来说，便是墓碑。
我也很希望村里能够在退市环节让这些企业主把吃下去的吐出来，但不管他们吐还是不吐，历史的进程是走向让A股能有效配置资源。
没有资本回报率的重复建设的部分，得不到资本支持，会被出清。留下的头部会形成产业资本和财务投资者共赢的局面。经历了这种出清后，充裕的资本将流向0-1、1-10这种高质量发展的落子，真正构建金融和科技的双轮驱动。

不能孤立看ST才能理解ST，只有真的理解ST只是开始，那么决策才能做对。",2024-06-03 11:29:00,./news_pic/weibo_tangshuzhuren_20240603112900_image.jpg
"盘面还是冰火两重天，机构禁投池在扩大，私募也在整理持仓。说白点，非量化机构也不愿意在有雷的地方和量化玩。
所以不能简单归结为ST的原因，就是生态在变化，流动性向一千多个股票集中。 ",2024-06-03 10:48:00,No_Pic
"今天是6月第一个交易日，除端午节占用一个交易日以外，本月没有其他节假，共19个交易日。我个人是看好6月泛科技向行情的，5月没有完成的目标，顺延到6月来进行。
预期方面，月初最重要的事件是6.6的欧洲央行议息，从目前来看，25个基点的降息比较确定，拉加德已经明确说了乐见欧洲央行和美联储分野行事。从全球来看，欧元区降息将进一步拉动其他货币进入主动降息周期，美元还可以扛几个月，但其他货币其实比较紧张了。从汇率角度来看，欧元降息后，我们盯一揽子货币的压力会小一些，这个方向上，市场我们先看港股会怎么反馈。而更为重要的是债市，长期国债是否下行。现在资金涌向这种长期国债，完全是违背央行对市场的指导。

昨晚黄仁勋演讲把NV后续的思路捋了一遍，现有的GB200市场已经熟悉了，可以扩展到32000个GPU，市场估计还会去拆（猜）整体架构，但从功耗来看，AI未来只能靠核电供养了。下一步2025年推出的Rubin，配HBM4记忆芯片。从咱们的角度来看，N+2\N+3扩产后，勉强能追上一部分主芯片制程，但目前咱们先进封装还在HBM2的水平，这块要加速，否则主芯片跟到一定程度，HBM又会掣肘。
此外NV还明确了具身智能软硬件的生态，NIMs搞软的，Physical AI搞硬的。其实这两部分放在一起看就很清晰了。就类似汽车先搞虚拟引擎，再开出来自动驾驶。从商业上来看也可行，虚拟人先赚钱，然后养机器人落地。
整个听下来，感觉咱们国内的公司还是不够聚焦。周末聊天的时候也有小伙伴说到这个，说H应该把车全卖了，把GPU资产买了，然后结合半导体攻坚，去追NV，否则整个AI要在生态上差距越来越大了，不止是技术层面。

智能交通方面，周末爆冷。北京先把近百亿的招标甩出来了。不止是钱超预期，而且钱的机构也超预期，70%政府出资+30%国企出资，硬钱。也有卖方摁计算器去算别的城市能有多少，我个人还是觉得没必要这样刚性外推，其他地方政府掏不出这么多钱。
北京敢掏这么多钱，是实实在在知道搞V2X的好处。在亦庄搞试点很久了，且好多年前已经把几个区的红绿灯交给百度，智能化对于提高城市交通效率的作用，北京是清楚的。
从二级市场来看，首先一个区拓展到几乎全域，必然会反馈为更高的平台能力，更多的硬件投入以及运维。但如果视野再大一点，其他有试点经验的城市也开始推，那么车端也会渗透加速，而一体化的底层技术，也会从简单的V2X过度到5.5G水平，至少是C-V2X。这些都不是二级市场能决定的，是产业发展的方向。

聊到这也顺带聊一嘴汽车，炒股的看汽车，脑子里不要有任何车评的思维，有就清仓好了。那种思维是滞后的，那种思维会把一个L2+的车推到你面前来，说我座椅更好，大灯更棒，完全是滞后的思维。
今年汽车看点两头，一头的高端车打海外车企。我们已经看到海外豪车购买意愿和销售数据双下降。这不是没钱买车了，富人消费能力一直很好。这是富人开始观望了，等国内车企出新东西。另一头是看非常惨烈的A\B级车价格战。价格战已经打到了10万以下，叠加今年的以旧换新，对传统合资车杀伤力是非常大的。从电池排产来看，7月数据会双速增长，也就是说价格战会在8-9月初现端倪，看谁剩者为王。市场很担心欧洲征税，唉，能看看ID4这种车型带来的符号意义不？双向加税，只能导致我们获得全面市场准入后卖的更快，即使加25%,我们的车依旧比他们的二手车便宜。中国车在欧洲，只要不设置关税以外的障碍，那么首先干掉的是他们的二手车市场。而老欧洲目前还是要点脸的，收了关税，照理不会设置其他隐形障碍。

卫星商业航天啥的，前面聊很多了，肯买的早脱离成本区了，等工台就位，火箭就会chuachua射，这是二级市场卷不掉的星辰大海。军共向6月底7月初按理说订单是要开始落地了，否则生产来不及。这块也没法聊，聊错了没事，聊对了事就大了，所以，会看的自己看吧。AI端侧念了这么久，最近也启动了，贴着产品端搞呗。
6月泛科技向是有机会赚钱的，红利出海地产这种出来吸睛的频率会降低，泛科技带动实体走出困境，也是基本路径推演。只不过操作上要注意量化的存在，不宜追高而已。

先码这么多，错别字不改了。",2024-06-03 07:52:00,No_Pic
5月盈亏情况，乱投吃跌停板  网页链接 ,2024-06-02 16:31:00,./news_pic/weibo_tangshuzhuren_20240602163100_image.jpg
"周末和做量化的小伙伴交流了一下，文字总结出来。

我们的市场在量化成交占比还不大的时候，不管当年行情多差，买方和卖方为了行业能维持下去，都会默契做多一两次。
以往这种全市场协同做多，我们也称之为“吃饭行情”。通常时间节点在春秋两季，年景好的时候，能从年报持续到开春，叫做春季攻势。而后走年中流动性不足的五穷六绝七翻身，再交易中报后的确定性。
最差的时候，一年里也会至少有一次全场协同。
这种协同做多，好的时候反馈为“机游共振”，机构和活跃资金互有策应，最为典型的是交易赛道。如果行情不好，也会各有抱团，机构抱团核心票，游资抱团连板妖股。
以上这些描述，概括为“做多动能”。

那么当随着量化成交占比越来越大，市场会发生什么变化呢？

首先我们要明白的第一点是，量化的交易策略和上述描述的“做多”不同。上述做多是交易一个或者几个确定性因素，然后赚取10%-100%的盈利。如果一个票连10%的空间都看不到，我们是不会买它的。
但量化策略不同，他只要能赚就会动。看官会说，那不是提供了流动性吗？确实，从这个角度看是提供了流动性。但问题在于，量化是有赚就行，收割的频率远远大于我们，甚至不赚钱的背景下，也会卖出前面拿的筹码，恢复底仓平衡。这就导致了一个个股或者板块，本来有希望走好的，直接被收割在萌芽状态了。
对于游资来说，日常做的事情，很多便是去试试“有没有量化”。有的话，做多就要买到量化策略转向，但往往这么干时候，成交占比等等，便很容易触发监管。原因也很简单，量化可以卡着监管规则毫秒级响应，人不行。更为直观的感受是，我们追一个票或者卖出一个票，会连续几次挂到笼子边缘而无法成交，只能撤单再挂。
对于机构，尤其是卖方来说，这个苦恼也大。比如开了一个电话会，逻辑为与会人员接受了。然后开盘，机构开始沿着均线买，量化开始倒了，买不完买不完，完全买不完。然后猜疑链开始了，正在买的怀疑卖方逻辑和自己验证的是不是错的？在旁边观察的会怀疑，卖方是不是提前带了别的资金。总之猜疑链越来越长，甚至围观的散户都会磕完瓜子拍拍手说：这什么白金研究员，什么机构调研，你看一样不是诈骗？

这种猜疑链扩散了几年后，全场都被PUA为内卷交易，向下交易。是的，不是所有的砸盘都是量化做的，但每个人都担心量化会先砸时，趋利避害便会发挥作用。看官会说，那量化也会抢筹啊，是的，确实会，甚至在集合竞价时间，看穿了全场决策的量化会在最后时刻完成加单和撤单。盘中抢筹更是可以顶着笼子扫。这并不能说明量化会做多，而是说明，这是另一种交易上的不公平。

看官会说，那既然量化这么厉害，那你也量化啊？
确实如此，越来越多的人开始使用量化辅助交易，但一种作为公共服务提供出来的算法，总是会被有自主因子编辑能力的量化干的，这条路最后会走向高薪诚聘数学天才，然后超级计算机对轰。美国也是这个样子，才有“人民性”的游戏驿站。

看官还会说，你说得量化这么厉害，那为什么看不到业绩呢？
这个市场原来大家都一起种地，吃冬储大白菜，没有人能吃特别多，但大家都不至于饿死。后来改成吃娃娃菜，一年吃两三回，单产自然下降，有些人吃得好，就要有些人快饿死。现在改成了吃鸡毛菜，小菜苗就割了吃了，一些人要吃饱，大多人就要挨饿。
量化是没有赚多少，但做多动能被他割太早，导致多数人都只能去土里刨根吃。
还听不懂？量化在鱼塘里用绝户网，整个鱼塘的生态都将受损，手艺再高明的钓鱼佬也只能白打窝。

那么量化从业也会说，你不能污名化我们整个行业，那只是一部分人，是高频量化是DMA，不是我们指增，也不是我们低频。
确实是这样的，但业内懂的不出来说，那钓鱼佬们便会把鱼竿挥舞成皮鞭，在那骂街，骂每一个撒网的人。

如何区分量化，如何监管量化，如何让量化不过度助涨助跌，是监管的问题，也是全市场的问题。
市场再猜疑链扩散，再重心向下，都不用说金融人民性这种宏大视角了，流动性也会重心下滑，而流动性是血脉这句话，应该没有人会再去挑衅了吧？股灾也只是两三个前的事情。

综上，我们这个市场，最终要面对的问题不止是量化，而是量化成交占比越来越大后的市场生态问题，既是量化监管的问题，也远超量化监管本身。
基于猜疑链的博弈导致做多动能持续减弱，那么市场的流动性和估值水平，也会不断衰退。

量化已经坐上牌桌，且面前的筹码越来越多。我们已无法把他赶下牌桌，那么接下来就要考虑，这张牌桌不能因为他坐上来，而成为老千竞技场。出千互相掏兜的市场，无法被信任。金融的本质，是信用！",2024-06-02 07:31:00,No_Pic
"川普被判有罪，叠加一季度经济增速下调，美元指数下行。今天先看港股反馈如何。
关键节点还是6月份欧盟是否降息。

不追高，不给高频送人头。让他们自己割自己。
继续抱住自己的核心仓，能卷掉一天两天的行情，卷不掉行业周期和业绩反馈。 ",2024-05-31 08:07:00,
