Text,Time,Pic
"一些小热点，一些反弹股票，其它仍在调整，继续缩量，今天预计7200亿附近

在没有护盘资金的介入下，也就这样，现在想的是怎样渡过这种调整行情是安全的，仅此而已，至于短线，可打可不打，行情弱的优势是，短线真正的利好题材或个股是聚焦的，不像之前，选择太多，所以其实这两天的主要题材，都不会太差，但缩量的缺点是，可能今天赚钱了，明天又跌回去",2024-06-04 09:51:00,No_Pic
"近期感觉，不看股票，不玩短线才是明智的

盘中又有一个标的，被问询，直接跌20CM

这不是单个股票的问题，是信心的问题 ",2024-06-03 13:11:00,No_Pic
超级难的行情，4000多家待涨 ,2024-06-03 13:10:00,No_Pic
"批量的ST跌停，垃圾股的淘汰仍在继续，近期炒股，有钱赚没钱赚是一回事

最怕踩雷，有可能踩雷的标的，都尽量别参与，踩一次中很伤，很伤 ",2024-06-03 10:08:00,No_Pic
"算是近期难得的一次，算是小增量？

早盘的成交量算是还可以的，市场整体依旧不好，整体偏科技，芯片，自动驾驶类为主，更多是有事件冲击的比较多，依旧偏题材市，市场依旧仍是调整类标的居多 ",2024-06-03 10:07:00,./news_pic/weibo_xianglong18duan_20240603100700_image.jpg
AI这边，存储线作为有业绩的今天反弹力度较好，存储今年预计反复炒是肯定的，一个一个小波段，其实是可以考虑做为长期整的品类，反复整 ,2024-06-03 09:51:00,No_Pic
猪肉继续涨价，板块早盘活跃，猪肉板块个人看好 ,2024-06-03 09:36:00,No_Pic
"开盘整体继续偏弱，车联网板块题材活跃，周末利好政策刺激

目前量能同比上周是有优势的，但估计量能还要继续萎缩，要起码看到10点半左右，今天量能才有定论，但市场目前仍未摆脱调整姿势，虽然随时有可能反弹，但是未有反弹企稳时，未有明确的板块机会时，都不建议仓位较重去做博弈 ",2024-06-03 09:36:00,No_Pic
"整体性还是红的比较多，但都非常轻微，都是普遍小反弹为主，但整体上没主力骨，没主要重点，也没核心题材，因此也没什么真正的赚钱效应

今天周五，整体能够小红，我感觉就挺好了 ",2024-05-31 09:40:00,No_Pic
不解决增量的问题，再怎么出消息，大家都会谨慎，近期的持续慢跌，其实伤害力很大 ,2024-05-31 09:35:00,./news_pic/weibo_xianglong18duan_20240531093500_image.jpg
好差的开盘行情，继续猥琐发育吧，躲着 ,2024-05-30 09:36:00,No_Pic
四大名士 ，知情人士，权威人士，内部人士，消息人士，我是一个都不认识 ,2024-05-29 14:38:00,./news_pic/weibo_xianglong18duan_20240529143800_image.jpg
"今天A股出现了13波赚钱机会，大家把握住了吗？

卫星，房地产，光伏，电力，有色，芯片，数字货币，旅游，电商，AI­PC，填权，比亚迪混动、固态电池 ",2024-05-29 14:34:00,./news_pic/weibo_xianglong18duan_20240529143400_image.jpg
垃圾股的下跌仍在加剧，不断新增退市警告标的，以及未来铁定要持续清掉的数家间上市公司，对于垃圾股，是在头上永远的雷，炒垃圾股的大时代过去了 ,2024-05-29 13:49:00,./news_pic/weibo_xianglong18duan_20240529134900_image.jpg
没啥好看的，继续高股息渡过调整 ,2024-05-29 10:56:00,./news_pic/weibo_xianglong18duan_20240529105600_image.jpg
"昨天的会议消息刺激一下

新能源感觉自己又行了 现在科技一般就蹦跶三天 然后继续高股息 ",2024-05-29 09:34:00,No_Pic
"电力高股息，最确定的分红概念

高股息估计要走好一阵子趋势了，可能轮流着来，高股息本质上选股，大家可以侧重：

低PE+央企+国企，因为以前不分红的多，现在强制性分红，哪怕平均分个50%或40%，那么很多低PE的股息也多

所以主要看低PE ",2024-05-28 13:35:00,No_Pic
