Text,Time
"地产人地产魂
没有地产股
周末天天哭？",2024-05-17 17:59:00
看好地产但是天地源这名字不敢买早上犹豫了好久，痛苦，又是踏空的一天，现在买啥,2024-05-16 10:15:00
"又是亏完的一天
兄弟们周末愉快
下周见",2024-05-10 15:06:00
"毛特了，开盘买了一堆锂电，然后瞄了眼连板，看到兴业在跌停，有锂电概念，就跟着翘了一笔，盘中以为悟道了，收盘泪两行
现在反核已经不流行了，南国置业收盘也没肉
老的套路果然不行了
当下的连板逃脱不了不一字就死的命运",2024-05-09 15:42:00
机构这两天疯狂洗脑的锂电新能源困境反转来真的？,2024-05-09 10:19:00
"假期学了合成生物
昨天学了商用航空
今天学习细胞治疗
感觉可以去读博了",2024-05-08 12:36:00
"追高没有好下场
昨天高潮的一个肉都没有
轮动市场就是这样
该来的分歧总会来
继续在手里的折腾做t了
闪崩的铜揽没买到急杀可惜
别再顶一字了
天天一字上一字下的",2024-05-08 11:43:00
"往往特停第二天高潮，第三天就分歧
现在第二天基本也都撑不住了
市场的轮动和一致性太强了",2024-05-07 10:56:00
"我橙汉三回来啦
想我了没",2024-05-05 22:17:00
"悟道了
",2024-03-07 15:02:00
佛山老师也有大亏的时候，2亿国脉文化亏了4000万走了,2024-03-01 09:54:00
"昨天套住，今天踏空
新战法之半路
前天卫星
今天半导体氢能源和消费电子
看样子大家都对新题材很热情
指数反包是超预期了，本来以为的买点在周五
还是人心思涨
不会真的是牛市多急跌吧
那周末要加钱了",2024-02-29 14:57:00
"掩护撤退有点恶心了哦……
拉中字头和券商
实际都在放量出货",2024-02-28 14:05:00
"掩护撤退有点恶心了哦……
拉中字头和券商
实际都在放量出货",2024-02-28 14:05:00
听到的是量化和部分机构放开了,2024-02-28 11:27:00
听到的是量化和部分机构放开了,2024-02-28 11:27:00
"今天市场放量的好奇怪……
有啥能买的吗，也看不到啊
20厘米打板已经有日内炸十几个点的了",2024-02-28 10:50:00
"今天市场放量的好奇怪……
有啥能买的吗，也看不到啊
20厘米打板已经有日内炸十几个点的了",2024-02-28 10:50:00
"中位已经套人了，高位还会远吗
本来打算分歧参与加仓的
现在分歧也不敢买了
安心等新题材或者调整20个点再说吧",2024-02-26 14:10:00
"中位已经套人了，高位还会远吗
本来打算分歧参与加仓的
现在分歧也不敢买了
安心等新题材或者调整20个点再说吧",2024-02-26 14:10:00
"这个行情别人都不羡慕
就羡慕通道党
和做20厘米的朋友

什么时候才能给哥们分歧买入的机会啊",2024-02-26 10:16:00
"这个行情别人都不羡慕
就羡慕通道党
和做20厘米的朋友

什么时候才能给哥们分歧买入的机会啊",2024-02-26 10:16:00
听说你们都赚肿了，有人给我发个红包嘛，一脸懵逼,2024-02-21 15:27:00
听说你们都赚肿了，有人给我发个红包嘛，一脸懵逼,2024-02-21 15:27:00
