Text,Time,Pic
"我从来不建群不交流也不公开提自己买的短线标的，就是为了合规一点边都不敢擦，就这样还有人一板一眼的造谣我？
",2024-05-29 19:39:00,
回复: 我吹票？产业链？这么多年了还是第一次有人说我靠吹票做大，别口嗨，请去zjh举报我。//:[该内容现已无法查看],2024-05-29 19:11:00,
杭州有什么骨折复健机构医院推荐的吗 或者能上门复健的,2024-05-18 10:06:00,
回复: 唉以前太年轻了没经验，光有钱不会用//:回复:国际部就行了，搞个一年1万多的保险，全国国际部随意去都不要钱，以前去浙一啥的，现在我的直接跑上海了，反正不要钱,2024-05-15 07:15:00,
回复: 之前不知道这个国际部，现在来不及去了了，明天手术//:回复:二哥颇有家资，还是直接去国际部吧,2024-05-15 06:45:00,
有谁知道浙二医院解放院区病房怎么换单间吗？住8人间简直是折磨问护士都说没有,2024-05-15 04:23:00,
发点渔，超短不是只有连板股和冲天炮,2024-05-13 11:21:00,
每天都有人来替我可惜眼药水卖早了大可不必，眼药水上涨我比谁都开心,2024-05-10 14:33:00,
回首向来萧瑟处，归去，也无风雨也无晴,2024-04-30 10:35:00,
 价值投资的胜利,2024-04-26 10:10:00,
高业绩、高增速、高分红；不造假、不勾兑、不减持。两市有这样的票吗？,2024-04-24 11:09:00,
A股的错配：最大的资金掌握在只会无脑抱团的基金经理手里，消息影响力掌握在财联社的实习小编手里。,2024-04-22 11:08:00,
一周少赚3000万,2024-03-21 10:57:00,
不会一语成谶踏空主升浪吧,2024-03-19 11:32:00,
我卖票真的太温柔了,2024-03-14 15:35:00,
"这笔投资已经结束。以前因为自己买的太多所以不方便公开提这个票。
500多天的坚守。
22年下半年做短线亏到绝望的时候，想办法转型价值投资，期间研究并认可了它近视药大单品的逻辑。
从22年10月买入一直持有，期间有数次暴跌过山车的痛苦、有23年1月高位加仓后阴跌不断，失去信仰割在启动前夜不得不认错追回的懊恼、有踏空AI的焦虑、谣言不断的质疑、对无法获批黑天鹅的恐惧、审批曲折漫长等待的担忧，获批黎明前最黑暗一段行情的煎熬。但最后，还是守得云开见月明。
获批那一刻，最欣喜的不是股价拉升，而是自己坚持了500多天的逻辑最后证明是对的。",2024-03-12 17:04:00,
回复: 研究完等待了一个月吧，感觉跌不动了，试盘买了几笔，临床出组驱动股价启动了才一路加仓的//:回复:想知道为什么这么牛，买入就是启动点？是刚发现研究完就是这个时间点吗？,2024-03-12 16:45:00,
行路难,2024-03-12 13:05:00,
梦醒花犹存 铁甲依然在,2024-03-11 15:02:00,
微博早就被封号了，登录上去看到两年前的私信，有被感动到,2024-03-02 23:54:00,
视上涨为洪水猛兽，风险是涨出来的，那为什么跌了两年了2600了还能千股跌停,2024-02-05 10:02:00,
梁宏自从规模百亿后真是把既得利益者的嘴脸演绎的淋漓尽致。但问题是你也没给你的投资人们赚到钱啊,2024-02-03 21:25:00,
壮士断腕逃过加速下跌浪 这下没人嘲讽我了吧,2024-02-02 13:53:00,
很想知道从我退市那天下午见底到今天你们赚了多少,2024-01-30 10:48:00,
无意间翻到这张图，16年9月,2022-12-10 23:32:00,
