Text,Time
"会
当年比亚迪通过一则公告一夜之间全球尽知
现在的问界只是过于低调了
默默取消了智障版的销售
但是这不改智驾时代未来已来",2024-05-18 15:48:00
"回复: 这波调整不大
之所以说是诛心
是因为杀的是很多人持股的原因
一季报出来以后
毛利率超高
代工厂论直接破产
理论上是要高走的
但是恰恰相反
这就让很多人的持有逻辑发生了严重动摇
年前跌到54.6 元没走
叠加山西事件、大嘴调动
结果这一波儿被清洗出去
～～～～～～～～～～
来看一段孙少军关于山西运城事件的表述
这是一次内外勾结、联合绞杀问界的行动
【问界M7运城事故定性，内外勾结、性质严重！（孙少军直播切片）-哔哩哔哩】 //:回复:哥，这才调整多少？中长线其实没那么难熬",2024-05-18 09:48:00
"决定一个股票中长期走势的是内在发展和外延并购
赛力斯的内在生长给我们中长期持有的底气
但是短线就非常复杂了
情绪、技术、资金、消息、逻辑多维复合
但是我认为逻辑是看长做短的基础
而短线的起爆点则是消息
至于情绪、资金、技术是为这二者服务的
~~~~~~~~~~
三月份以来
汽车市场降价不断
迪王凭借7.98万元的“秦”一扫六合
天下臣服
随后各路藩王跟进
整个市场卷的主旋律是卷价格
这也是中国工业崛起最为常见的模式
正是通过这种内卷
我们把诸多工业品细分做到了世界第一
但是华为是个例外
他是靠卷技术卷到世界第一的
曾经的手机市场
现在的汽车市场
问界新M5、新M7焕新版逆势而上
取消了智障版后
增加更多的实用功能
使得车均价大幅上升
塑造品牌调性
人的本能在于追涨杀跌
这也是资本市场少数人赚钱的原因
其实这个本能是延续到社会上的
比如房子、汽车
~~~~~~~~~~
我前面说：短线的起爆点是消息
那么在经历了杀人诛心的阶段后
我认为新M7焕新版的发布很可能成为新一轮走势的消息起爆点
焕新版让我看到了华为和赛力斯在坚决执行自己的策略
我们不卷市场、卷技术
这是一个战略方向
现在进入各大指数指日可待
且中报眨眼即至",2024-05-18 07:48:00
"回复: 第123567股东基本不参与交易
除去之外还有6.68亿筹码在交易
4.30到5.17交易量5.45亿股
5.45/6.68=81.58%
即使扣除做T
大部分筹码已经易主
这段杀人诛心的阶段
很多死多被清洗
这个市场终究是少数人赚大钱的
//:回复:这次洗掉不少人吧",2024-05-18 07:48:00
"这一轮调整最难熬的时候过去了
来吧
空头
枪下亡魂！
",2024-05-18 06:48:00
"烧到消防队来
电池没问题
让我选电车
在半固态电池没有普及的情况下
只能选问界
电池安全第一
就车辆安全来说
我可能比绝大多数人都更加重视
不管是电池安全
还是智能驾驶安全
我相信科技可以带来更大的安全
",2024-05-17 21:19:00
回复: 臭不要脸🤦♂️🤦♂️🤦♂️//:回复:别骄傲，突破25k，我给你发1w红包，记轮回老师账上,2024-05-17 18:16:00
M8 和非凡大师出来就覆盖齐全了整个高端 SUV 产品线,2024-05-17 12:39:00
（转） 为什么我更看好问界而不是理想。因为问界在做的：成交均价越来越高，并且致力于增配-全系智驾。而理想在做的事：成交均价越来越低，致力于刀法减配，砍员工降成本。,2024-05-17 10:25:00
"新新 M7 小定开始
在华为的加持下
赛力斯也开始了卷王模式
把汽车的迭代玩儿成像手机一样
全系高阶智驾
以后的问界没有智障版了",2024-05-17 09:25:00
"笑屎
新版《罗密欧与朱丽叶》
",2024-05-17 08:52:00
"我说过
散户最不值钱的就是时间
你的时间多少钱一个小时
连点等待的耐心都没有
去卖红薯吧
卖一个收一次钱
",2024-05-16 16:50:00
外观必选,2024-05-16 13:29:00
"裸眼全息投影真被华为整出来了
试问：谁能卷得过卷王华为？
赛力斯华为化+卷王华为=无敌是多么寂寞
拿着是真舒服
踏实💪💪💪💪💪
2.89 复制打开抖音，看看【陈二狗养老日记的作品】花4999买个表就为了个开机动画，我这算不算成功召...  ChO:/ 11/22 i@P.Kw",2024-05-16 09:47:00
让想走的人离开 挺好的,2024-05-15 21:04:00
"回复: 这个阶段好有一比啊
有点像拿刀背切肉
割不下来多少肉
磨死你
主打一个吓死你
//:回复:赛力斯刷新了自从我买入以来的日成交最低 不足 3000 万股 磨了 6 天了 每天小阴小阳 诛心阶段",2024-05-15 17:48:00
"赛力斯刷新了自从我买入以来的日成交最低
不足 3000 万股
磨了 6 天了
每天小阴小阳
诛心阶段",2024-05-15 17:23:00
"回复: 看空却不敢上的永远再给自己找借口
即使 M9 稳态了他们还有其他借口
不用鸟他们
我最服气的就是写一大段唱空赛力斯的人
建议先看看自己的账户
就明白说的全是废话！
还有脸教别人👎👎👎//:回复:对赛狗的争议（认知差），已经从代工厂转向了M9的稳态销量，我相信一哥说的，颠覆BBA，销量将超出大部分人的认知",2024-05-15 12:11:00
"均价最贵的卖的居然是最多的
这事儿也就华为干的出来
就像 X5 狂卖四百万台
Pure70系列
卖得最好的是ultra ",2024-05-15 08:42:00
“乾崑已定，智在必行”,2024-05-14 20:21:00
